,URL,Title,Goal Completions,Goal Conversion Rate,Total Clicks,Total Impressions,Average CTR,Average Position,Desktop Clicks (URL Avg),Desktop Impressions (URL Avg),Desktop CTR (URL Avg),Desktop Position (URL Avg),Mobile Clicks (URL Avg),Mobile Impressions (URL Avg),Mobile CTR (URL Avg),Mobile Position (URL Avg),Tablet Clicks (URL Avg),Tablet Impressions (URL Avg),Tablet CTR (URL Avg),Tablet Position (URL Avg),Found in Google Analytics,Users,Sessions,Pageviews,Pageviews Per Session,Unique Pageviews,Bounce Rate,Avg Time On Page,Entrance Rate
0,https://www.mdmountainside.com/,"The Mountain Side of Maryland - Allegany County, The Mountain Side of Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,500,631,2461,3.9,2008,32.01,72.74,25.64
1,https://www.mdmountainside.com/10th-annual-mountain-maryland-plein-air,"10th Annual Mountain Maryland Plein Air - Allegany County, The Mountain Side of Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,6,6,9,1.5,9,66.67,68.33,66.67
2,https://www.mdmountainside.com/10th-annual-roger-rizer-memorial-car-show,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,4,4,4,1.0,4,100.0,0.0,100.0
3,https://www.mdmountainside.com/1812-brewery,"1812 Brewery - Allegany County, The Mountain Side of Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,49,56,91,1.63,83,73.21,161.89,61.54
4,https://www.mdmountainside.com/1812-brewery-farmerscraftsflea-market2,"1812 Brewery Farmers'/Crafts/Flea Market - Allegany County, The Mountain Side of Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,3,3,5,1.67,5,66.67,28.5,60.0
5,https://www.mdmountainside.com/1812-brewery-presents-musician-gibb-cochrum-and-food-by-chef-pauls-kitchen,"1812 Brewery Presents Musician Gibb Cochrum and Food by Chef Paul's Kitchen - Allegany County, The Mountain Side of Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,1,1,1,1.0,1,100.0,0.0,100.0
6,https://www.mdmountainside.com/18th-annual-labor-day-supercruise,"18th Annual Labor Day SuperCruise - Allegany County, The Mountain Side of Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,1,1,1,1.0,1,100.0,0.0,100.0
7,https://www.mdmountainside.com/1978-bishop-walsh-city-championship-football-reunion-with-night-traveler-and-wamba-caravan-89,"1978 Bishop Walsh City Championship Football Reunion with Night Traveler and Wamba Caravan #89 - Allegany County, The Mountain Side of Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,3,4,4,1.0,4,100.0,0.0,100.0
8,https://www.mdmountainside.com/1st-presbyterian-churchs-annual-ice-cream-social,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2,5,6,1.2,5,80.0,134.0,83.33
9,https://www.mdmountainside.com/2018-cumberland-holiday-historic-home-tour,"2018 Cumberland Holiday Historic Home Tour - Allegany County, The Mountain Side of Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,4,4,4,1.0,4,100.0,0.0,100.0
