,URL,H1,Title,Meta Description,H1 Word Count,No. Content Words,No. Template Words,No. Words,No. Sentences,No. Paragraphs,No. Headers,Reading Time (mm:ss),Flesch Kincaid Reading Ease,Sentiment,Indexable,Indexable Status
0,https://www.mdmountainside.com/,"Allegany County, The Mountain Side of Maryland","The Mountain Side of Maryland - Allegany County, The Mountain Side of Maryland","Visit the mountains of Allegany County, Maryland. Enjoy shopping, restaurants, historic sites, and outdoor activities along The Great Allegheny Passage.",7,83,288,371,5,3,3,00:25,Easy,Neutral,Yes,Indexable
1,https://www.mdmountainside.com/10th-annual-mountain-maryland-plein-air,"Allegany County, The Mountain Side of Maryland","10th Annual Mountain Maryland Plein Air - Allegany County, The Mountain Side of Maryland",Not Found,7,326,77,403,40,26,5,01:38,Fairly Difficult,Positive,Yes,Indexable
2,https://www.mdmountainside.com/1812-brewery,"Allegany County, The Mountain Side of Maryland","1812 Brewery - Allegany County, The Mountain Side of Maryland",Not Found,7,792,47,839,104,53,5,03:58,Standard,Very Positive,Yes,Indexable
3,https://www.mdmountainside.com/1812-brewery-farmerscraftsflea-market,"Allegany County, The Mountain Side of Maryland","1812 Brewery Farmers'/Crafts/Flea Market - Allegany County, The Mountain Side of Maryland",Not Found,7,113,152,265,21,17,4,00:34,Fairly Easy,Neutral,Yes,Indexable
4,https://www.mdmountainside.com/1812-brewery-farmerscraftsflea-market2,"Allegany County, The Mountain Side of Maryland","1812 Brewery Farmers'/Crafts/Flea Market - Allegany County, The Mountain Side of Maryland",Not Found,7,110,150,260,19,15,3,00:33,Fairly Easy,Neutral,Yes,Indexable
5,https://www.mdmountainside.com/1812-brewery-farmerscraftsflea-market23,"Allegany County, The Mountain Side of Maryland","1812 Brewery Farmers'/Crafts/Flea Market - Allegany County, The Mountain Side of Maryland",Not Found,7,110,150,260,19,15,3,00:33,Fairly Easy,Neutral,Yes,Indexable
6,https://www.mdmountainside.com/1812-brewery-farmerscraftsflea-market234,"Allegany County, The Mountain Side of Maryland","1812 Brewery Farmers'/Crafts/Flea Market - Allegany County, The Mountain Side of Maryland",Not Found,7,110,150,260,19,15,3,00:33,Fairly Easy,Neutral,Yes,Indexable
7,https://www.mdmountainside.com/1812-brewery-holiday-flea-market-and-brunch-with-santa,"Allegany County, The Mountain Side of Maryland","1812 Brewery Holiday Flea Market and Brunch with Santa - Allegany County, The Mountain Side of Maryland",Not Found,7,134,174,308,21,14,3,00:40,Easy,Positive,Yes,Indexable
8,https://www.mdmountainside.com/1812-brewery-presents-musician-gibb-cochrum-and-food-by-chef-pauls-kitchen,"Allegany County, The Mountain Side of Maryland","1812 Brewery Presents Musician Gibb Cochrum and Food by Chef Paul's Kitchen - Allegany County, The Mountain Side of Maryland",Not Found,7,199,164,363,34,19,3,01:00,Easy,Positive,Yes,Indexable
9,https://www.mdmountainside.com/1812-brewery-presents-musician-jacob-blank-and-bbq-beast,"Allegany County, The Mountain Side of Maryland","1812 Brewery Presents Musician Jacob Blank & BBQ Beast - Allegany County, The Mountain Side of Maryland",Not Found,7,91,179,270,26,13,2,00:27,Very Easy,Positive,Yes,Indexable
10,https://www.mdmountainside.com/1812-octobeerfest-dinner-with-good-carma-catering,"Allegany County, The Mountain Side of Maryland","1812 Octobeerfest Dinner with Good Carma Catering - Allegany County, The Mountain Side of Maryland","Good Carma Catering and 1812 Brewery have teamed up once again and are celebrating Octobeerfest with a Beer Pairing Dinner, in Cumberland, MD.",7,229,173,402,29,19,3,01:09,Standard,Positive,Yes,Indexable
11,https://www.mdmountainside.com/1812s-howl-o-ween-party,"Allegany County, The Mountain Side of Maryland","1812's Howl-O-Ween Party - Allegany County, The Mountain Side of Maryland",Not Found,7,174,166,340,26,19,3,00:52,Fairly Easy,Positive,Yes,Indexable
12,https://www.mdmountainside.com/18th-annual-labor-day-supercruise,"Allegany County, The Mountain Side of Maryland","18th Annual Labor Day SuperCruise - Allegany County, The Mountain Side of Maryland",Not Found,7,202,115,317,26,23,3,01:01,Fairly Difficult,Positive,Yes,Indexable
13,https://www.mdmountainside.com/1978-bishop-walsh-city-championship-football-reunion-with-night-traveler-and-wamba-caravan-89,"Allegany County, The Mountain Side of Maryland","1978 Bishop Walsh City Championship Football Reunion with Night Traveler and Wamba Caravan #89 - Allegany County, The Mountain Side of Maryland",Not Found,7,243,152,395,33,19,4,01:13,Fairly Easy,Positive,Yes,Indexable
14,https://www.mdmountainside.com/2018-cumberland-holiday-historic-home-tour,"Allegany County, The Mountain Side of Maryland","2018 Cumberland Holiday Historic Home Tour - Allegany County, The Mountain Side of Maryland",Not Found,7,467,80,547,52,29,5,02:20,Difficult,Positive,Yes,Indexable
15,https://www.mdmountainside.com/2018-halloween-bash-with-rubix-kube,"Allegany County, The Mountain Side of Maryland","2018 Halloween Bash with Rubix Kube - Allegany County, The Mountain Side of Maryland",Not Found,7,310,90,400,36,28,5,01:33,Fairly Difficult,Positive,Yes,Indexable
16,https://www.mdmountainside.com/2018-western-maryland-kidney-ride,"Allegany County, The Mountain Side of Maryland","2018 Western Maryland Kidney Ride - Allegany County, The Mountain Side of Maryland",Not Found,7,487,86,573,62,26,4,02:26,Fairly Difficult,Positive,Yes,Indexable
17,https://www.mdmountainside.com/2019-destination-guide,"Allegany County, The Mountain Side of Maryland","2019 Destination Guide - Allegany County, The Mountain Side of Maryland","Allegany County Tourism announced the release of its 2019 Visit Mountain Maryland Destination Guide for Allegany County, Maryland.",7,402,171,573,29,13,1,02:01,Very Difficult,Positive,Yes,Indexable
18,https://www.mdmountainside.com/2nd-annual-ugly-christmas-sweater-party-at-1812-brewery,"Allegany County, The Mountain Side of Maryland","2nd Annual Ugly Christmas Sweater Party at 1812 Brewery - Allegany County, The Mountain Side of Maryland",Not Found,7,258,152,410,36,19,4,01:17,Fairly Easy,Positive,Yes,Indexable
19,https://www.mdmountainside.com/2nd-annual-ymca-dragons-on-the-lake,"Allegany County, The Mountain Side of Maryland","2nd Annual YMCA Dragons on the Lake - Allegany County, The Mountain Side of Maryland",Not Found,7,315,167,482,31,17,3,01:35,Standard,Positive,Yes,Indexable
20,https://www.mdmountainside.com/30th-annual-iron-furnace-5k-and-fun-walk,"Allegany County, The Mountain Side of Maryland","30th Annual Iron Furnace 5K and Fun Walk - Allegany County, The Mountain Side of Maryland",Not Found,7,313,87,400,30,23,3,01:34,Difficult,Positive,Yes,Indexable
