,URL,Title,No. Duplicates,Duplicate URL,Paginated
0,https://www.mdmountainside.com/dragons-on-the-lake,"Dragons on the Lake - Allegany County, The Mountain Side of Maryland",1.0,https://www.mdmountainside.com/dragons-on-the-lake-2019,No
1,https://www.mdmountainside.com/drive-in-fly-in-august-2019,"Drive-In Fly-In - Allegany County, The Mountain Side of Maryland",1.0,https://www.mdmountainside.com/drive-in-fly-in-sepetmber-2019,No
2,https://www.mdmountainside.com/Delfest,"DelFest - Allegany County, The Mountain Side of Maryland",1.0,https://www.mdmountainside.com/delfest,No
3,https://www.mdmountainside.com/third-friday-dance-session2,"Third Friday Dance Session - Allegany County, The Mountain Side of Maryland",2.0,https://www.mdmountainside.com/third-friday-dance-session,No
4,,,,https://www.mdmountainside.com/third-friday-dance-session23,No
5,https://www.mdmountainside.com/murder-mystery23456,"Murder Mystery - Allegany County, The Mountain Side of Maryland",8.0,https://www.mdmountainside.com/murder-mystery,No
6,,,,https://www.mdmountainside.com/murder-mystery2,No
7,,,,https://www.mdmountainside.com/murder-mystery23,No
8,,,,https://www.mdmountainside.com/murder-mystery234,No
9,,,,https://www.mdmountainside.com/murder-mystery2345,No
10,,,,https://www.mdmountainside.com/murder-mystery234567,No
11,,,,https://www.mdmountainside.com/murder-mystery2345678,No
12,,,,https://www.mdmountainside.com/murder-mystery23456789,No
13,https://www.mdmountainside.com/sitn-jaw23,"Sit'n Jaw - Allegany County, The Mountain Side of Maryland",5.0,https://www.mdmountainside.com/sitn-jaw,No
14,,,,https://www.mdmountainside.com/sitn-jaw2,No
15,,,,https://www.mdmountainside.com/sitn-jaw234,No
16,,,,https://www.mdmountainside.com/sitn-jaw2345,No
17,,,,https://www.mdmountainside.com/sitn-jaw23456,No
18,https://www.mdmountainside.com/kegs-and-eggs-brunch-and-dinner-at-1812-brewery,"Kegs & Eggs Brunch and Dinner at 1812 Brewery - Allegany County, The Mountain Side of Maryland",1.0,https://www.mdmountainside.com/kegs-and-eggs-brunch,No
19,https://www.mdmountainside.com/1812-brewery-farmerscraftsflea-market2,"1812 Brewery Farmers'/Crafts/Flea Market - Allegany County, The Mountain Side of Maryland",3.0,https://www.mdmountainside.com/1812-brewery-farmerscraftsflea-market,No
20,,,,https://www.mdmountainside.com/1812-brewery-farmerscraftsflea-market23,No
21,,,,https://www.mdmountainside.com/1812-brewery-farmerscraftsflea-market234,No
22,https://www.mdmountainside.com/delfest/resources,"Resources - Allegany County, The Mountain Side of Maryland",1.0,https://www.mdmountainside.com/resources,No
23,https://www.mdmountainside.com/st-pauls-lutheran-church,"St. Paul's Lutheran Church - Allegany County, The Mountain Side of Maryland",1.0,https://www.mdmountainside.com/st-pauls-lutheran-church2,No
24,https://www.mdmountainside.com/dubs-at-the-gap,"Dubs at the Gap - Allegany County, The Mountain Side of Maryland",1.0,https://www.mdmountainside.com/dubs-at-the-gap-2019,No
25,https://www.mdmountainside.com/the-pros-from-dover-and-klavuhns-family,"The Pros from Dover and Klavuhn's Family Concessions at 1812 Brewery - Allegany County, The Mountain Side of Maryland",1.0,https://www.mdmountainside.com/the-pros-from-dover-and-klavuhns-family-concessions-at-1812-brewery,No
26,https://www.mdmountainside.com/cumberland-choral-society-holiday-concert-2,"Cumberland Choral Society Holiday Concert - Allegany County, The Mountain Side of Maryland",1.0,https://www.mdmountainside.com/cumberland-choral-society-holiday-concert,No
27,https://www.mdmountainside.com/frostburg-flyer,"Frostburg Flyer - Allegany County, The Mountain Side of Maryland",2.0,https://www.mdmountainside.com/frostburg-flyer2,No
28,,,,https://www.mdmountainside.com/frostburg-flyer23,No
29,https://www.mdmountainside.com/fourth-friday-tea-series234,"Fourth Friday Tea Series - Allegany County, The Mountain Side of Maryland",3.0,https://www.mdmountainside.com/fourth-friday-tea-series,No
30,,,,https://www.mdmountainside.com/fourth-friday-tea-series2,No
31,,,,https://www.mdmountainside.com/fourth-friday-tea-series23,No
