,URL,Title,Title Length,No. Titles,Indexable,Indexable Status
0,https://www.mdmountainside.com/,"The Mountain Side of Maryland - Allegany County, The Mountain Side of Maryland",78,1,Yes,Indexable
1,https://www.mdmountainside.com/10th-annual-mountain-maryland-plein-air,"10th Annual Mountain Maryland Plein Air - Allegany County, The Mountain Side of Maryland",88,1,Yes,Indexable
2,https://www.mdmountainside.com/1812-brewery,"1812 Brewery - Allegany County, The Mountain Side of Maryland",61,1,Yes,Indexable
3,https://www.mdmountainside.com/1812-brewery-farmerscraftsflea-market,"1812 Brewery Farmers'/Crafts/Flea Market - Allegany County, The Mountain Side of Maryland",89,1,Yes,Indexable
4,https://www.mdmountainside.com/1812-brewery-farmerscraftsflea-market2,"1812 Brewery Farmers'/Crafts/Flea Market - Allegany County, The Mountain Side of Maryland",89,1,Yes,Indexable
5,https://www.mdmountainside.com/1812-brewery-farmerscraftsflea-market23,"1812 Brewery Farmers'/Crafts/Flea Market - Allegany County, The Mountain Side of Maryland",89,1,Yes,Indexable
6,https://www.mdmountainside.com/1812-brewery-farmerscraftsflea-market234,"1812 Brewery Farmers'/Crafts/Flea Market - Allegany County, The Mountain Side of Maryland",89,1,Yes,Indexable
7,https://www.mdmountainside.com/1812-brewery-holiday-flea-market-and-brunch-with-santa,"1812 Brewery Holiday Flea Market and Brunch with Santa - Allegany County, The Mountain Side of Maryland",103,1,Yes,Indexable
8,https://www.mdmountainside.com/1812-brewery-presents-musician-gibb-cochrum-and-food-by-chef-pauls-kitchen,"1812 Brewery Presents Musician Gibb Cochrum and Food by Chef Paul's Kitchen - Allegany County, The Mountain Side of Maryland",124,1,Yes,Indexable
9,https://www.mdmountainside.com/1812-brewery-presents-musician-jacob-blank-and-bbq-beast,"1812 Brewery Presents Musician Jacob Blank & BBQ Beast - Allegany County, The Mountain Side of Maryland",103,1,Yes,Indexable
